,Title,Genre,Director,Actors,Plot
595,My Girl,"Comedy, Drama, Family            ",Howard Zieff,"['Anna Chlumsky', 'Macaulay Culkin', 'Dan Aykroyd', 'Jamie Lee Curtis']","A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend."
596,Rush Hour,"Action, Comedy, Crime            ",Brett Ratner,"['Jackie Chan', 'Chris Tucker', 'Ken Leung', 'Tom Wilkinson']","A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
597,Varsity Blues,"Comedy, Drama, Romance            ",Brian Robbins,"['James Van Der Beek', 'Jon Voight', 'Paul Walker', 'Ron Lester']",A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.
598,Punch-Drunk Love,"Comedy, Drama, Romance            ",Paul Thomas Anderson,"['Adam Sandler', 'Emily Watson', 'Philip Seymour Hoffman', 'Jason Andrews']","A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding."
599,Anchorman 2: The Legend Continues,Comedy            ,Adam McKay,"['Will Ferrell', 'Christina Applegate', 'Paul Rudd', 'Steve Carell']","With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm."
600,The Old Man & The Gun,"Biography, Comedy, Crime            ",David Lowery,"['Robert Redford', 'Casey Affleck', 'Sissy Spacek', 'Danny Glover']",Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.
601,This Means War,"Action, Comedy, Romance            ",McG,"['Reese Witherspoon', 'Chris Pine', 'Tom Hardy', 'Til Schweiger']",C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.
602,Adaptation.,"Comedy, Drama            ",Spike Jonze,"['Nicolas Cage', 'Meryl Streep', 'Chris Cooper', 'Tilda Swinton']",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
603,22 Jump Street,"Action, Comedy, Crime            ",Phil Lord,"['Christopher Miller', 'Channing Tatum', 'Jonah Hill', 'Ice Cube', 'Nick Offerman']","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
604,RED 2,"Action, Adventure, Comedy            ",Dean Parisot,"['Bruce Willis', 'Helen Mirren', 'John Malkovich', 'Anthony Hopkins']",Retired CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.
605,Zoolander,Comedy            ,Ben Stiller,"['Ben Stiller', 'Owen Wilson', 'Christine Taylor', 'Will Ferrell']","At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia."
606,Shark Tale,"Animation, Adventure, Comedy            ",Bibo Bergeron,"['Vicky Jenson', 'Rob Letterman', 'Will Smith', 'Robert De Niro', 'Renée Zellweger', 'Angelina Jolie']","When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage."
607,Playing with Fire,"Comedy, Family            ",Andy Fickman,"['John Cena', 'Keegan-Michael Key', 'John Leguizamo', 'Tyler Mane']",A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.
608,George of the Jungle,"Action, Adventure, Comedy            ",Sam Weisman,"['Brendan Fraser', 'Leslie Mann', 'Thomas Haden Church', 'Richard Roundtree']",A man raised in the jungle by apes falls in love with a wealthy American heiress.
609,Porky's,Comedy            ,Bob Clark,"['Dan Monahan', 'Mark Herrier', 'Wyatt Knight', 'Roger Wilson']","In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
610,Song of the South,"Animation, Comedy, Family            ",Harve Foster,"['Wilfred Jackson', 'Ruth Warrick', 'Bobby Driscoll', 'James Baskett', 'Luana Patten']","The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear."
611,Tootsie,"Comedy, Drama, Romance            ",Sydney Pollack,"['Dustin Hoffman', 'Jessica Lange', 'Teri Garr', 'Dabney Coleman']","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
612,Annie Hall,"Comedy, Romance            ",Woody Allen,"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane']",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
613,Bringing Up Baby,"Comedy, Family, Romance            ",Howard Hawks,"['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles', 'Walter Catlett']","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
614,The Cable Guy,"Comedy, Drama, Thriller            ",Ben Stiller,"['Jim Carrey', 'Matthew Broderick', 'Leslie Mann', 'Jack Black']","A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences."
615,Klaus,"Animation, Adventure, Comedy            ",Sergio Pablos,"['Carlos Martínez López', 'Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
616,Flight of the Navigator,"Adventure, Comedy, Family            ",Randal Kleiser,"['Joey Cramer', 'Paul Reubens', 'Cliff De Young', 'Veronica Cartwright']","In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship."
617,Kung fu,"Action, Comedy, Fantasy            ",Stephen Chow,"['Stephen Chow', 'Wah Yuen', 'Qiu Yuen', 'Siu-Lung Leung']","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
618,Holmes & Watson,"Comedy, Crime, Mystery            ",Etan Cohen,"['Will Ferrell', 'John C. Reilly', 'Ralph Fiennes', 'Rebecca Hall']",A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.
619,Tank Girl,"Action, Comedy, Sci-Fi            ",Rachel Talalay,"['Lori Petty', 'Ice-T', 'Naomi Watts', 'Don Harvey']","A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet."
620,Bee Movie,"Animation, Adventure, Comedy            ",Simon J. Smith,"['Steve Hickner', 'Jerry Seinfeld', 'Renée Zellweger', 'Matthew Broderick', 'Patrick Warburton']","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them."
